2.51449	2.51449	-0.96
2.51421	2.51421	-0.11
2.51388	2.51388	-0.43
2.51356	2.51356	-0.61
2.51322	2.51322	-0.4
2.51286	2.51286	-0.63
2.51252	2.51252	-0.42
2.51186	2.51186	-0.83
2.51151	2.51151	-0.77
2.51119	2.51119	-0.41
2.51084	2.51084	-0.6
2.51052	2.51052	-0.58
2.51011	2.51011	-0.98
2.50972	2.50972	-0.99
2.50936	2.50936	-0.74
2.50894	2.50894	-0.54
2.5088	2.5088	-0.12
2.50862	2.50862	-0.08
2.5085	2.5085	0.18
2.5084	2.5084	-0.28
2.50829	2.50829	-0.32
2.50815	2.50815	-0.33
2.50796	2.50796	-0.33
2.50768	2.50768	-0.46
2.50738	2.50738	-0.1
2.50727	2.50727	-0.2
2.50718	2.50718	0.08
2.5072	2.5072	0.14
2.50725	2.50725	0.05
2.50715	2.50715	-0.12
2.50696	2.50696	-0.23
2.50672	2.50672	-0.27
2.50646	2.50646	-0.27
2.50635	2.50635	-0.07
2.50638	2.50638	-0.04
2.50631	2.50631	-0.08
2.50623	2.50623	-0.17
2.5063	2.5063	0.25
2.50627	2.50627	-0.1
2.50636	2.50636	0.43
2.50647	2.50647	0.33
2.50649	2.50649	0.13
2.50652	2.50652	0.09
2.5067	2.5067	0.12
2.50693	2.50693	0.42
2.50715	2.50715	0.65
2.50717	2.50717	0.21
2.50713	2.50713	-0.16
2.50715	2.50715	0.01
2.50714	2.50714	0.23
2.50718	2.50718	0.21
2.50729	2.50729	0.37
2.50743	2.50743	0.05
2.50752	2.50752	-0.04
2.50764	2.50764	-0.03
2.50767	2.50767	0.05
2.50773	2.50773	0.22
2.50781	2.50781	0.31
2.50784	2.50784	0.09
2.50809	2.50809	0.51
2.50828	2.50828	0.29
2.50843	2.50843	0.13
2.5085	2.5085	-0.1
2.50858	2.50858	0.18
2.50859	2.50859	0.28
2.50867	2.50867	0.21
2.50887	2.50887	0.9
2.50897	2.50897	0.31
2.50905	2.50905	0.34
2.5091	2.5091	0.07
2.50903	2.50903	-0.22
2.50886	2.50886	0.2
2.50884	2.50884	-0.12
2.50885	2.50885	0.22
2.50904	2.50904	0.64
2.50918	2.50918	0.41
2.50922	2.50922	0.18
2.50938	2.50938	0.05
2.50931	2.50931	-0.28
2.50919	2.50919	-0.41
2.50898	2.50898	-0.48
